,word,translation
622,piensas,"verb: think, reflect, ponder.  "
623,hacemos,"verb: do, make, ask.  "
624,especial,"adjective: special, particular, especial.  "
625,queremos,"verb: want, love, wish.  "
626,irme,go away
627,perfecto,"adjective: perfect, ideal, flawless.  "
628,buscar,"verb: search, search for, look.  "
629,odio,"noun: hatred, hate, odium.  "
630,piensa,"verb: think, reflect, ponder.  "
631,oficina,"noun: office, bureau, business office.  "
632,hablas,"verb: talk, speak, chat.  "
633,libre,"adjective: free, loose, idle.  noun: leisure.  "
634,agente,"noun: agent, operative, factor.  "
635,llamar,"verb: call, get, knock.  "
636,mala,"adjective: bad, wrong, evil.  noun: villain.  "
637,detrás,"adverb: behind, back, after.  "
638,viste,"verb: see, view, watch.  "
639,dile,tell him
640,grandes,"adjective: large, big, great.  "
641,recuerdas,"verb: remember, recall, remind.  "
642,real,"adjective: real, actual, royal.  noun: real.  "
643,estaban,"verb: be, stay, stand.  "
644,mía,pronoun: mine.  
645,frente,"noun: front, face, forehead.  "
646,perdido,"adjective: lost, missing, astray.  "
647,llamo,"verb: call, get, knock.  "
648,muertos,"adjective: dead, deceased, lifeless.  noun: dead, dead man, deceased.  "
649,millones,millions
650,asesino,"noun: murderer, killer, assassin.  adjective: murderous, cutthroat.  "
651,sueño,"noun: dream, sleep, sleeping.  "
652,quisiera,"verb: want, love, wish.  "
653,habría,verb: have.  
654,hará,"verb: do, make, ask.  "
655,viaje,"noun: trip, travel, journey.  "
656,probablemente,"adverb: probably, likely, possibly.  "
657,resto,"noun: rest, remainder, debt.  adjective: leftover.  "
658,estaré,"verb: be, stay, stand.  "
659,maldición,"noun: curse, malediction, damn.  "
660,lamento,"noun: lament, wail, plaint.  "
661,muchacho,"noun: boy, lad, youngster.  "
662,avión,"noun: plane, aircraft, airplane.  "
663,ropa,"noun: clothing, clothes, wear.  "
664,fuerza,"noun: force, strength, power.  "
665,llamado,"adjective: called, so-called.  "
666,oído,"noun: ear, hearing.  "
667,dado,"adjective: given.  noun: die, dice.  "
668,encima,"adverb: above, over, atop.  preposition: at top of.  "
669,negro,"adjective: black, dark, raven.  noun: black, ebony, gloom.  "
670,usar,"verb: use, wear, utilize.  "
671,información,"noun: information, data, intelligence.  "
672,uds,pronoun: you.  
673,preguntas,noun: questioning.  
674,tuvo,"verb: have, keep, own.  "
675,secreto,"adjective: secret, covert, private.  noun: secret, secrecy, hugger-mugger.  "
676,vuelve,"verb: return, go back, come back.  "
677,miren,"verb: look, look at, watch.  "
678,quieras,"verb: want, love, wish.  "
679,haría,"verb: do, make, ask.  "
680,acaba,"verb: end, finish, complete.  "
681,otras,"adjective: other, another, another one.  "
682,incluso,"adverb: even, actually.  preposition: including.  abbreviation: inc..  "
683,sientes,"verb: feel, sense, regret.  "
684,deberíamos,"verb: must, owe, job.  "
685,haz,"noun: beam, bundle, face.  "
686,decirte,tell you
687,boca,"noun: mouth, pit.  "
688,dolor,"noun: pain, grief, sorrow.  "
689,baño,"noun: bath, toilet, washroom.  "
690,adentro,"adverb: in, indoors.  preposition: in.  adjective: inward.  "
691,profesor,"noun: teacher, professor, lecturer.  "
692,habitación,"noun: room, habitation, accommodation.  "
693,daño,"noun: damage, hurt, harm.  "
694,tuyo,"pronoun: yours, thine.  "
695,seas,"verb: be, come, come of.  "
696,noticias,"noun: news, information, tidings.  "
697,demás,noun: the rest.  
698,querido,"adjective: dear, darling, cherished.  noun: darling, lover, love.  "
699,duro,"adjective: hard, tough, harsh.  adverb: rough.  noun: die-hard, hard-liner.  "
700,poner,"verb: put, add, place.  "
701,prueba,"noun: test, proof, evidence.  "
702,mire,interjection: Look!.  
703,tonto,"adjective: silly, fool, foolish.  noun: silly, fool, stupid.  "
704,campo,"noun: field, countryside, country.  adjective: outback.  "
705,siendo,"verb: be, come, come of.  "
706,diez,noun: ten.  : ten.  
707,ése,"pronoun: that, that one.  "
708,tranquilo,"adjective: quiet, tranquil, peaceful.  "
709,asunto,"noun: matter, issue, case.  "
710,acabó,"verb: end, finish, complete.  "
711,quédate,stay
712,derecho,"adjective: right, straight, erect.  adverb: right, straight, directly.  noun: right, law, entitlement.  "
713,placer,"noun: pleasure, delight, enjoyment.  "
714,recuerda,"verb: remember, recall, remind.  "
715,estuve,"verb: be, stay, stand.  "
716,tratando,"verb: treat, process, try on.  "
717,ejército,"noun: army, force, legion.  "
718,futuro,"adjective: future, prospective, succeeding.  noun: future, hereafter, futurity.  "
719,llevar,"verb: carry, take, bring.  "
720,compañía,"noun: company, companionship, troupe.  "
721,venido,adjective: landed.  
722,listos,"adjective: ready, clever, set.  noun: tap.  "
723,haremos,"verb: do, make, ask.  "
724,sitio,"noun: site, website, place.  "
725,verlo,see him
726,puesto,"noun: post, position, place.  adjective: established, landed, laid.  "
727,atención,"noun: attention, care, notice.  "
728,sino,"conjunction: but, if not.  preposition: but.  noun: fate.  "
729,cambiar,"verb: change, switch, shift.  "
730,error,"noun: error, mistake, bug.  "
731,blanco,"adjective: white, target.  noun: white, blank, target.  "
732,raro,"adjective: rare, unusual, odd.  "
733,palabras,"noun: words, speech, dictionary.  "
734,llegó,"verb: get, reach, arrive.  "
735,sal,"noun: salt, sal, wit.  "
736,pase,"noun: pass, permit, entrance card.  "
737,mente,"noun: mind, mentality, intelligence.  "
738,sistema,"noun: system, scheme, method.  "
739,película,"noun: film, movie, picture.  "
740,anda,interjection: Run along!.  
741,ello,pronoun: it.  
742,negocio,"noun: deal, bargain, trade.  "
743,novia,"noun: bride, fiancee, fiancée.  "
744,permiso,"noun: permission, permit, leave.  "
745,creí,"verb: believe, think, trust.  "
746,suena,"verb: sound, ring, play.  "
747,ocurre,"verb: occur, happen, take place.  "
748,oficial,"adjective: official, formal, governmental.  noun: official, officer.  "
749,espere,interjection: Wait!.  
750,aire,"noun: air, wind, midair.  "
751,mató,"verb: kill, slay, murder.  "
752,regresar,"verb: return, go back, come back.  "
753,vio,"verb: see, view, watch.  "
754,hazlo,do it
755,trasero,"adjective: rear, back, rearward.  noun: rear, bottom, backside.  "
756,grupo,"noun: group, band, set.  "
757,entendido,"adjective: understood, agreed, knowledgeable.  noun: expert, connoisseur.  "
758,señorita,"noun: miss, mademoiselle, missy.  abbreviation: Ms..  "
759,música,noun: music.  
760,perra,"noun: bitch, slut.  "
761,conoce,"verb: know, meet, learn.  "
762,empezar,"verb: start, begin, get.  phrase: start the ball rolling.  "
763,siente,"verb: feel, sense, regret.  "
764,acabo,"verb: end, finish, complete.  "
765,estúpido,"adjective: stupid, idiotic, asinine.  noun: idiot, bonehead, coot.  "
766,diferente,"adjective: different, distinct, various.  "
767,traje,"noun: suit, costume, outfit.  "
768,modo,"noun: mode, way, manner.  "
769,encontré,"verb: find, meet, encounter.  "
770,mensaje,"noun: message, dispatch, despatch.  "
771,llamada,"noun: call, appeal, ring.  "
772,navidad,"noun: Christmas, Xmas, Nativity.  "
773,eras,"verb: be, come, come of.  "
774,pena,"noun: penalty, pain, sorrow.  "
775,largo,"adjective: long, lengthy, dilatory.  noun: length, largo.  "
776,entra,"verb: enter, get in, come in.  "
777,piso,"noun: floor, flat, flooring.  "
778,foto,"noun: photo, shot, snapshot.  abbreviation: phot.  "
779,dijeron,"verb: say, tell, speak.  "
780,médico,"noun: doctor, physician, medico.  adjective: medical, medic.  "
781,accidente,"noun: accident, wreck, mishap.  "
782,fuiste,"verb: be, come, come of.  "
783,imposible,"adjective: impossible, hopeless.  "
784,podríamos,"verb: be able to, can, may.  "
785,línea,"noun: line, cable, cord.  "
786,propia,"adjective: own, proper, individual.  "
787,barco,"noun: boat, ship, vessel.  "
788,ganar,"verb: win, earn, gain.  "
789,normal,"adjective: normal, regular, ordinary.  "
790,segundos,"adjective: second, second-best.  noun: second, second best.  "
791,vive,"verb: live, live on, reside.  "
792,mitad,"noun: half, middle, moiety.  "
793,quiera,interjection: As you please!.  
794,tras,"preposition: after, behind, beyond.  noun: backside.  "
795,decirle,tell
796,lindo,"adjective: cute, nice, beautiful.  "
797,funciona,"verb: work, function, run.  "
798,programa,"noun: program, schedule, show.  "
799,vine,"verb: come, come round, come through.  "
800,abre,"verb: open, open up, start.  "
801,sean,"verb: be, come, come of.  "
802,pagar,"verb: pay, pay for, repay.  "
803,fotos,"noun: photo, shot, snapshot.  "
804,centro,"noun: center, focus, middle.  "
805,supone,"verb: suppose, involve, guess.  "
806,basura,"noun: garbage, trash, waste.  "
807,situación,"noun: situation, location, position.  "
808,mejores,"adjective: best, better, lead.  "
809,vienen,"verb: come, come round, come through.  "
810,encanta,"verb: love, enchant, delight.  "
811,marido,noun: husband.  
812,personal,"noun: staff, personnel, crew.  adjective: personal, individual, private.  "
813,maestro,"adjective: master, masterful, expert.  noun: master, teacher, maestro.  "
814,hambre,"noun: hunger, famine, starvation.  "
815,ataque,"noun: attack, strike, assault.  "
816,culo,"noun: ass, bum, bottom.  "
817,dale,Go ahead
818,pie,"noun: foot, bottom, footing.  abbreviation: f., ft..  "
819,conseguir,"verb: get, achieve, obtain.  "
820,trabajando,"verb: work, job, labor.  "
821,gracioso,"adjective: funny, graceful, gracious.  noun: joker.  "
822,dejó,"noun: tinge, trace, taste.  "
823,pudo,"verb: be able to, can, may.  "
824,derecha,"noun: right, right hand, right side.  abbreviation: r.h..  "
825,izquierda,noun: left.  abbreviation: l.h..  
826,próxima,"adjective: next, near, close.  "
827,pobre,"adjective: poor, meager, pauper.  noun: pauper, beggar.  "
828,respuesta,"noun: response, answer, reply.  "
829,tipos,noun: type.  
830,sentir,"verb: feel, sense, regret.  "
831,tenías,"verb: have, keep, own.  "
832,pude,"verb: be able to, can, may.  "
833,darle,give him
834,voz,"noun: voice, word, vocals.  "
835,amiga,"noun: female friend, lady.  "
836,gustan,"verb: like, taste, love.  "
837,vista,"noun: view, sight, vision.  "
838,salvo,"preposition: except, save, but.  conjunction: except for.  "
839,loca,"adjective: crazy, mad, out of one's mind.  noun: madman, zany, half-wit.  "
840,hotel,"noun: hotel, guesthouse, palace.  "
841,hicieron,"verb: do, make, ask.  "
842,ten,"verb: have, keep, own.  "
843,temo,"verb: fear, dread, apprehend.  "
844,señal,"noun: signal, mark, bookmark.  "
845,pelo,"noun: hair, pile, coat.  "
846,llevo,"verb: carry, take, bring.  "
847,ayer,adverb: yesterday.  noun: yesterday.  
848,das,"verb: give, yield, lend.  "
849,nena,"noun: baby, babe, tot.  "
850,servicio,"noun: service, duty, serving.  "
851,tren,noun: train.  
852,bonito,"adjective: nice, beautiful, pretty.  "
853,mes,"noun: month.  abbreviation: MO, mth.  "
854,tendrá,"verb: have, keep, own.  "
855,tendrás,"verb: have, keep, own.  "
856,edad,"noun: age, years, time.  "
857,ellas,pronoun: they.  
858,hermosa,"adjective: beautiful, handsome, lovely.  "
859,honor,"noun: honor, credit, privilege.  "
860,simplemente,"adverb: simply, merely, plainly.  "
861,llamas,noun: lights.  
862,tengas,"verb: have, keep, own.  "
863,corre,"verb: run, flow, hurry.  "
864,baja,noun: drop.  
865,sol,"noun: sun, sunshine, sol.  "
866,siéntate,Sit down
867,dan,"verb: give, yield, lend.  "
868,humano,"adjective: human, humane.  noun: human.  "
869,divertido,"adjective: funny, amusing, amused.  "
870,sexo,"noun: sex, gender.  "
871,vuelto,adjective: turned.  noun: change.  
872,peligro,"noun: danger, hazard, peril.  "
873,mesa,"noun: table, board, bureau.  "
874,siguiente,"adjective: following, after, incoming.  "
875,hablo,"verb: talk, speak, chat.  "
876,disculpa,"noun: apology, excuse, exculpation.  "
877,decirme,tell me
878,caja,"noun: box, case, cash.  "
879,negocios,"noun: business, affairs.  "
880,misión,"noun: mission, task, assignment.  "
881,silencio,"noun: silence, quiet, hush.  "
882,sale,"verb: leave, get out, go out.  "
883,llegado,"adjective: landed, immigrant, joined.  noun: immigrant, invader.  "
884,estaría,"verb: be, stay, stand.  "
885,regreso,"noun: return, comeback, regress.  "
886,media,"noun: average, mean, medium.  "
887,estan,"verb: be, stay, stand.  "
888,propio,"adjective: own, proper, individual.  noun: proper.  preposition: like.  "
889,oro,adjective: gold.  noun: gold.  
890,enseguida,"adverb: immediately, promptly.  "
891,linda,"adjective: cute, nice, beautiful.  "
892,prometo,"verb: promise, pledge, vow.  "
893,esposo,"noun: husband, spouse.  "
894,norte,noun: north.  adjective: northerly.  abbreviation: N.  
895,hubo,verb: have.  
896,juro,"verb: swear, pledge, vow.  "
897,muerta,noun: dead woman.  
898,interesante,"adjective: interesting, intriguing, cool.  "
899,pensaba,"verb: think, reflect, ponder.  "
900,busca,"noun: search, hunt, bleeper.  "
901,terminar,"verb: end, finish, complete.  phrase: call it a day.  "
902,tendré,"verb: have, keep, own.  "
903,completamente,"adverb: completely, fully, thoroughly.  "
904,cita,"noun: appointment, quote, date.  "
905,siete,adjective: seven.  noun: seven.  : seven.  
906,cumpleaños,"noun: birthday, date.  "
907,abogado,"noun: lawyer, attorney, counsel.  "
908,alrededor,"adverb: around, round.  "
909,cerebro,"noun: brain, mastermind, cerebrum.  "
910,porqué,"adverb: why, wherefore.  "
911,llave,"noun: key, spanner, faucet.  "
912,santo,"adjective: holy, saint, saintly.  noun: saint, hallow.  abbreviation: St..  "
913,hermoso,"adjective: beautiful, handsome, lovely.  "
914,necesario,"adjective: necessary, needed, required.  "
915,edificio,"noun: building, premises, place.  "
916,irnos,go away
917,aun,"adverb: even, yet, still.  "
918,tendremos,"verb: have, keep, own.  "
919,vayas,"verb: go, be, head.  "
920,doy,"verb: give, yield, lend.  "
921,trae,"verb: bring, bring in, get.  "
922,salió,he left
923,ley,"noun: law, act, statute.  "
924,ahi,adverb: there.  
925,verdadero,"adjective: true, real, actual.  "
926,pelea,"noun: fight, fighting, quarrel.  "
927,banco,"noun: bank, bench, shoal.  "
928,terrible,"adjective: terrible, awful, dreadful.  "
929,calma,"noun: calm, calmness, still.  "
930,cena,"noun: dinner, supper, evening meal.  "
931,daré,"verb: give, yield, lend.  "
932,gobierno,"noun: government, administration, steering.  "
933,comprar,"verb: buy, purchase, get.  "
934,creen,"verb: create, make, set up.  "
935,sargento,"noun: sergeant, serjeant, sarge.  "
936,destino,"noun: destination, destiny, fate.  "
937,existe,"verb: exist, be, occur.  "
938,hacía,"preposition: towards, to, toward.  "
939,novio,"noun: groom, bridegroom, fiance.  "
940,sala,"noun: room, hall, lounge.  "
941,través,"noun: traverse, slant.  "
942,regalo,"noun: gift, present, treat.  "
943,iglesia,"noun: church, kirk, clergy.  "
944,decía,"verb: say, tell, speak.  "
945,cualquiera,"adjective: any, whatever, whichever.  pronoun: anyone, anybody.  "
946,excelente,"adjective: excellent, sterling, dandy.  noun: excellence.  "
947,esperen,"verb: wait, expect, wait for.  "
948,deseo,"noun: desire, wish, want.  "
949,alma,"noun: soul, heart, spirit.  "
950,diablo,"noun: devil, the devil, evil.  "
951,deje,"verb: leave, let, stop.  "
952,cuántos,interjection: How many?.  
953,espada,"noun: sword, blade.  "
954,estábamos,"verb: be, stay, stand.  "
955,carne,"noun: meat, flesh.  "
956,maravilloso,"adjective: wonderful, marvelous, amazing.  "
957,vidas,"noun: life, living, lifetime.  "
958,sucedió,"verb: happen, occur, come about.  "
959,oí,"verb: hear, listen, overhear.  "
960,peligroso,"adjective: dangerous, hazardous, perilous.  "
961,dirección,"noun: address, direction, management.  "
962,libertad,"noun: freedom, liberty, independence.  "
963,jesús,noun: Jesus.  
964,ocurrió,It occurred
965,veré,"verb: see, view, watch.  "
966,sueños,noun: dreaminess.  
967,pudiera,"verb: be able to, can, may.  "
968,detective,"noun: detective, sleuth, private eye.  "
969,sorpresa,noun: surprise.  
970,tuya,"pronoun: yours, thine.  noun: arborvitae.  "
971,pies,"noun: foot, bottom, footing.  "
972,club,noun: club.  
973,terminado,"adjective: finished, completed, over.  adverb: all up.  "
974,infierno,"noun: hell, inferno, underworld.  "
975,creía,"verb: believe, think, trust.  "
976,luna,noun: moon.  
977,salvar,"verb: save, salvage, rescue.  "
978,carta,"noun: letter, card, carte.  "
979,estés,"verb: be, stay, stand.  "
980,cielos,"interjection: Heavens!, Good heavens!.  "
981,teniente,noun: lieutenant.  
982,encuentra,"verb: find, meet, encounter.  "
983,veamos,"verb: see, view, watch.  "
984,quise,"verb: want, love, wish.  "
985,escúchame,listen to me
986,necesitan,"verb: need, require, take.  "
987,ambos,adjective: both.  pronoun: both.  
988,decisión,"noun: decision, rule.  "
989,enemigo,"noun: enemy, foe.  adjective: hostile, averse.  "
990,hicimos,"verb: do, make, ask.  "
991,dulce,"adjective: sweet, gentle, dulcet.  noun: sweet, candy, sweetmeat.  "
992,pruebas,"noun: testing, proof.  "
993,querías,"verb: want, love, wish.  "
994,abuelo,"noun: grandfather, grandpa, grandparent.  "
995,totalmente,"adverb: totally, completely, entirely.  "
996,mirando,"verb: look, look at, watch.  "
997,vayan,"verb: go, be, head.  "
998,carrera,"noun: career, race, run.  "
999,vuelo,"noun: flight, flying.  "
1000,ante,"preposition: before, in the face of.  noun: suede, buckskin.  "
1001,bienvenido,adjective: welcome.  
1002,harás,"verb: do, make, ask.  "
1003,encontramos,"verb: find, meet, encounter.  "
1004,encontrado,adjective: located.  
1005,contacto,"noun: contact, touch, point.  "
1006,posición,"noun: position, location, place.  "
1007,saberlo,know
1008,planeta,noun: planet.  
1009,humanos,"adjective: human, humane.  noun: human.  "
1010,coronel,noun: colonel.  abbreviation: col..  
1011,junto,adjective: together.  adverb: together.  
1012,diría,"verb: say, tell, speak.  "
1013,ésa,"pronoun: that, that one.  "
1014,base,"noun: base, basis, foundation.  "
1015,oír,"verb: hear, listen, overhear.  "
1016,suelo,"noun: floor, soil, ground.  "
1017,pelear,"verb: quarrel, row, skirmish.  "
1018,ayudarte,help you
1019,pistola,"noun: gun, pistol, handgun.  "
1020,frío,"adjective: cold, cool, chilly.  noun: cold, chill.  "
1021,comandante,"noun: commander, major, commandant.  abbreviation: Maj..  "
1022,partes,"noun: part, party, portion.  "
1023,llega,"verb: get, reach, arrive.  "
1024,verás,noun: truth.  
1025,sur,noun: south.  
1026,iremos,"verb: go, be, head.  "
1027,rato,"noun: while, time, bit.  "
1028,mar,"noun: sea, ocean, the deep.  "
1029,espacio,"noun: space, room, gap.  "
1030,asesinato,"noun: murder, assassination, killing.  "
1031,ventana,"noun: window, deadlight.  "
1032,prisa,"noun: hurry, rush, haste.  "
1033,tienda,"noun: store, shop, tent.  "
1034,cámara,"noun: camera, chamber, cameraman.  "
1035,puedas,"verb: be able to, can, may.  "
1036,según,"preposition: according to, by, depending on.  phrase: it depends.  "
1037,broma,"noun: joke, prank, jest.  "
1038,reunión,"noun: meeting, reunion, gathering.  "
1039,despierta,"verb: wake, awaken, arouse.  "
1040,sacar,"verb: take, get, draw.  "
1041,tí,"pronoun: you, thee.  "
1042,segunda,noun: second.  
1043,papel,"noun: paper, role, part.  "
1044,locura,"noun: madness, insanity, folly.  "
1045,departamento,"noun: department, shop, flat.  "
1046,horrible,"adjective: horrible, awful, hideous.  "
1047,enfermo,"adjective: sick, ill, diseased.  noun: patient, invalid, sufferer.  "
1048,pregunto,I ask
1049,cárcel,"noun: jail, prison, gaol.  "
1050,órdenes,"noun: order, command, warrant.  "
1051,intento,"noun: attempt, try, intent.  "
1052,isla,"noun: island, isle.  "
1053,salida,"noun: output, departure, exit.  "
1054,llamó,"verb: call, get, knock.  "
1055,volveré,"verb: return, go back, come back.  "
1056,usa,"verb: use, wear, utilize.  "
1057,gato,"noun: cat, jack, tomcat.  "
1058,hagan,"verb: do, make, ask.  "
1059,dejes,"verb: leave, let, stop.  "
1060,duele,"verb: hurt, ache, pain.  "
1061,vengan,"verb: come, come round, come through.  "
1062,crimen,"noun: crime, felony, offense.  "
1063,esperaba,"verb: wait, expect, wait for.  "
1064,causa,"noun: cause, reason, case.  "
1065,bar,"noun: bar, snack bar, cocktail bar.  "
1066,seré,"verb: be, come, come of.  "
1067,ocho,noun: eight.  : eight.  
1068,temprano,"adjective: early, matutinal, rathe.  adverb: early, soon, ere.  "
1069,río,"noun: river, stream.  "
1070,relación,"noun: relationship, relation, connection.  "
1071,drogas,"noun: drug, dope, cocaine.  "
1072,luces,"noun: lights, highlights, illuminations.  "
1073,bromeando,"verb: joke, banter, jest.  "
1074,ojalá,I wish
1075,hablamos,"verb: talk, speak, chat.  "
1076,trabaja,"verb: work, job, labor.  "
1077,irse,"verb: go, leave, depart.  "
1078,libros,noun: books.  
1079,radio,"noun: radio, radius, wireless.  "
1080,vienes,adjective: Viennese.  noun: Viennese.  
1081,quedan,"verb: stay, remain, keep.  "
1082,excepto,"preposition: except, but, save.  conjunction: except for.  "
1083,brazo,"noun: arm, armrest, sail-arm.  "
1084,tome,"verb: take, have, drink.  "
1085,rojo,"adjective: red, ruddy, ginger.  noun: red.  "
1086,conocido,"adjective: known, famed, noted.  noun: acquaintance.  "
1087,universidad,"noun: university, school, varsity.  "
1088,investigación,"noun: research, investigation, inquiry.  "
1089,batalla,"noun: battle, fighting.  "
1090,reglas,"noun: rule, ruler, regulation.  "
1091,cargo,"noun: charge, position, post.  "
1092,hogar,"noun: home, hearth, fireplace.  "
1093,ninguno,"pronoun: none, neither.  adjective: no, neither, whatever.  "
1094,dieron,"verb: give, yield, lend.  "
1095,vuelva,"verb: return, go back, come back.  "
1096,sabías,"verb: know, realize, taste.  "
1097,respeto,"noun: respect, regard, deference.  "
1098,estación,"noun: station, season, resort.  abbreviation: St..  "
1099,corte,"noun: cutting, court, section.  "
1100,paciente,adjective: patient.  noun: patient.  
1101,encuentro,"noun: meeting, encounter, match.  adjective: far-flung.  "
1102,energía,"noun: energy, power, vigor.  "
1103,dejado,"adjective: left, untidy, slovenly.  noun: legacy, dung.  "
1104,baile,"noun: dance, dancing, ball.  "
1105,abuela,noun: grandmother.  
1106,caliente,"adjective: hot, warm, heated.  "
1107,vieja,"noun: old woman, old lady, hag.  "
1108,viendo,"verb: see, view, watch.  "
1109,veremos,"verb: see, view, watch.  "
1110,rayos,Ray
1111,simple,"adjective: simple, single, mere.  noun: simple.  "
1112,bailar,"verb: dance, spin, jig.  phrase: shake a leg.  "
1113,papa,"noun: potato, pope.  "
1114,triste,"adjective: sad, sorry, unhappy.  adverb: joylessly.  "
1115,zona,"noun: area, zone, region.  "
1116,serás,phrase: you will.  
1117,guardia,"noun: guard, watch, constable.  "
1118,canción,"noun: song, singing, chanson.  "
1119,salud,noun: health.  
1120,escuchar,"verb: listen, hear, listen to.  "
1121,parar,"verb: stop, halt, end.  "
1122,estarás,"verb: be, stay, stand.  "
1123,cenar,"verb: dine, take a meal.  "
1124,soldados,"noun: soldier, trooper, fighter.  "
1125,caballo,"noun: horse, hack.  adjective: equine.  "
1126,serán,"verb: be, come, come of.  "
1127,estaremos,"verb: be, stay, stand.  "
1128,interesa,"verb: interest, appeal, attract.  "
1129,volar,"verb: fly, blow, blow up.  "
1130,principio,"noun: principle, beginning, start.  adjective: ABC.  "
1131,nivel,"noun: level, standard, tier.  "
1132,cálmate,take it easy
1133,conocer,"verb: know, meet, learn.  "
1134,finalmente,"adverb: finally, last, at last.  "
1135,alegro,adverb: allegro.  noun: allegro.  
1136,debajo,"adverb: below, under, beneath.  preposition: under.  "
1137,podrían,"verb: be able to, can, may.  "
1138,bosque,"noun: forest, woods, wood.  "
1139,bonita,"adjective: nice, beautiful, pretty.  "
1140,bolsa,"noun: bag, pouch, stock exchange.  "
1141,pone,"verb: put, add, place.  "
1142,taxi,"noun: taxi, cab, taxicab.  "
1143,ocupado,"adjective: busy, occupied, taken.  "
1144,amable,"adjective: friendly, kind, nice.  "
1145,acaso,adverb: perhaps.  
1146,detente,stop
1147,imbécil,"noun: moron, imbecile, fool.  adjective: imbecile, idiotic, silly.  "
1148,san,noun: saint.  
1149,equivocado,"adjective: wrong, mistaken, misguided.  "
1150,viva,noun: cheer.  
1151,puso,"verb: put, add, place.  "
1152,obra,"noun: work, play, piece.  "
1153,consejo,"noun: advice, council, counsel.  "
1154,público,"adjective: public, open, overt.  noun: public, audience, spectators.  "
1155,ayúdame,Help me
1156,animales,"adjective: animal.  noun: animal, beast.  "
1157,azul,adjective: blue.  noun: blue.  
1158,apuesto,"adjective: dapper, dashing.  "
1159,prisión,"noun: prison, imprisonment, jail.  "
1160,mirar,"verb: look, look at, watch.  "
1161,inteligente,"adjective: intelligent, smart, clever.  "
1162,metros,"noun: metro, meter, subway.  "
1163,fantástico,"adjective: fantastic, fantastical, fanciful.  "
1164,próximo,"adjective: next, near, close.  "
1165,jugando,"adverb: at play, playfully.  "
1166,ojo,noun: eye.  
1167,salga,interjection: Off with you!.  
1168,vea,"verb: see, view, watch.  "
1169,llaman,"verb: call, get, knock.  "
1170,entrada,"noun: entry, input, tackle.  "
1171,duda,"noun: doubt, query, misgiving.  "
1172,cerveza,"noun: beer, pint, suds.  "
1173,unidos,United
1174,matado,adjective: murdered.  
1175,princesa,noun: princess.  
1176,perdí,"verb: lose, miss, waste.  "
1177,entender,"verb: understand, grasp, realize.  "
1178,santa,abbreviation: St..  
1179,quedar,"verb: stay, remain, keep.  "
1180,miles,"noun: thousand, mil.  "
1181,llamaré,"verb: call, get, knock.  "
1182,compañero,"noun: partner, companion, mate.  "
1183,pensado,"adjective: thought-out, digested.  "
1184,espalda,noun: back.  
1185,dejé,"verb: leave, let, stop.  "
1186,bomba,"noun: pump, bomb, bombshell.  "
1187,cartas,"noun: letters, mail, post.  "
1188,apenas,"adverb: just, scarcely, barely.  "
1189,leer,verb: read.  
1190,hermanos,"noun: brethren, brother and sister.  "
1191,darme,give me
1192,papi,Daddy
1193,mantener,"verb: maintain, keep, hold.  "
1194,suyo,"pronoun: his, yours, own.  "
1195,rico,"adjective: rich, wealthy, delicious.  adverb: in the money.  "
1196,verla,see her
1197,lee,verb: read.  
1198,sigues,"verb: follow, continue, keep.  "
1199,toca,"verb: touch, play, perform.  "
1200,olvídalo,forget it
1201,acción,"noun: action, share, acting.  "
1202,hayas,verb: have.  
1203,dioses,"noun: God, Lord, Holy.  "
1204,mando,"noun: command, leadership, rule.  "
1205,dejaré,"verb: leave, let, stop.  "
1206,llegue,"verb: get, reach, arrive.  "
1207,formas,"noun: form, way, shape.  "
1208,uh,uh
1209,cierra,"verb: close, shut, shut down.  "
1210,damas,"noun: ladies, draughts, chequers.  "
1211,puente,"noun: bridge, bridgework, deck bridge.  "
1212,memoria,"noun: memory, remembrance, memoir.  "
1213,regresa,"verb: return, go back, come back.  "
1214,muévanse,move
1215,parecía,"verb: seem, appear, look like.  "
1216,vestido,"noun: dress, gown, dress suit.  adjective: dressed.  "
1217,llaves,"noun: key, spanner, faucet.  "
1218,tv,abbreviation: TV.  noun: television.  
1219,camión,"noun: truck, camion, lorry.  "
1220,acabar,"verb: end, finish, complete.  "
1221,robot,noun: robot.  
1222,llevó,"verb: carry, take, bring.  "
1223,montón,"noun: heap, pile, mound.  "
1224,estuviste,"verb: be, stay, stand.  "
1225,máquina,"noun: machine, engine, dolly tub.  "
1226,puertas,noun: clow.  
1227,podamos,"verb: be able to, can, may.  "
1228,muere,"verb: die, kill, die out.  "
1229,trago,"noun: drink, swallow, gulp.  "
1230,mayoría,"noun: most, majority, many.  "
1231,reina,"noun: queen, empress.  "
1232,lleno,"adjective: filled, full, packed.  noun: abundance.  "
1233,inglés,"adjective: English.  noun: English, Englishman, Sassenach.  "
1234,don,"noun: gift, don, Esquire.  abbreviation: Esq..  "
1235,soldado,"noun: soldier, trooper, fighter.  "
1236,estrella,"noun: star, blaze, canvas.  "
1237,escuche,"verb: listen, hear, listen to.  "
1238,valor,"noun: value, worth, courage.  "
1239,pido,"verb: ask, request, ask for.  "
1240,delante,"adverb: before, fore.  "
1241,código,"noun: code, cipher, cypher.  "
1242,héroe,noun: hero.  
1243,fe,"noun: faith, belief, confidence.  "
