,rank,lemma,Spanish,lemma (disambiguated),show
1905,1696.0,joder,jodido,joder,*jodido* (joder)
1906,1697.0,militar,militar,,militar
1907,1698.0,computadora,computadora,,computadora
1908,1699.0,encantar,encantaría,,*encantaría* (encantar)
1909,1700.0,seguir,siga,,*siga* (seguir)
1910,1701.0,silla,silla,,silla
1911,1702.0,movimiento,movimiento,,movimiento
1912,1703.0,momento,momentos,,*momentos* (momento)
1913,1704.0,familiar,familiar,,familiar
1914,1705.0,apartamento,apartamento,,apartamento
1915,1706.0,disparar,disparar,,disparar
1916,1707.0,tesoro,tesoro,,tesoro
1917,1708.0,perfecto,perfecta,,*perfecta* (perfecto)
1918,1709.0,referir,refiero,,*refiero* (referir)
1919,1710.0,motivo,motivo,,motivo
1920,1711.0,dar,dará,,*dará* (dar)
1921,1712.0,nuevo,nuevas,,*nuevas* (nuevo)
1922,1713.0,mister,mr,,*mr* (mister)
1923,1714.0,querer,querer,,querer
1924,1715.0,matar,matarlo,,*matarlo* (matar)
1925,1716.0,valiente,valiente,,valiente
1926,1717.0,víctima,víctima,,víctima
1927,1718.0,tener,tendrán,,*tendrán* (tener)
1928,1719.0,estúpido,estúpida,,*estúpida* (estúpido)
1929,1720.0,enviar,envió,,*envió* (enviar)
1930,1721.0,encantado,encantado,encantado,encantado
1931,1721.0,encantar,encantado,encantar,*encantado* (encantar)
1932,1722.0,diario,diario,,diario
1933,1723.0,abrir,abran,,*abran* (abrir)
1934,1724.0,sentir,sentí,,*sentí* (sentir)
1935,1725.0,autobús,autobús,,autobús
1936,1726.0,traer,traído,,*traído* (traer)
1937,1727.0,casa,casas,casa,*casas* (casa)
1938,1727.0,casar,casas,casar,*casas* (casar)
1939,1728.0,apurar,apúrate,,*apúrate* (apurar)
1940,1729.0,encontrar,encuentras,,*encuentras* (encontrar)
1941,1730.0,descanso,descanso,descanso,descanso
1942,1730.0,descansar,descanso,descansar,*descanso* (descansar)
1943,1731.0,sheriff,sheriff,,sheriff
1944,1732.0,mover,mueve,,*mueve* (mover)
1945,1733.0,Inglaterra,inglaterra,,*inglaterra* (Inglaterra)
1946,1734.0,quieto,quieto,,quieto
1947,1735.0,matar,matarte,,*matarte* (matar)
1948,1736.0,calle,calles,calle,*calles* (calle)
1949,1736.0,callar,calles,callar,*calles* (callar)
1950,1737.0,tamaño,tamaño,,tamaño
1951,1738.0,colegio,colegio,,colegio
1952,1739.0,usar,usando,,*usando* (usar)
1953,1740.0,cabo,cabo,,cabo
1954,1741.0,video,video,,video
1955,1742.0,toque,toques,toque,*toques* (toque)
1956,1742.0,tocar,toques,tocar,*toques* (tocar)
1957,1743.0,pelota,pelota,,pelota
1958,1744.0,ir,yendo,,*yendo* (ir)
1959,1745.0,directo,directo,,directo
1960,1746.0,terminar,termine,,*termine* (terminar)
1961,1747.0,vivo,vivos,,*vivos* (vivo)
1962,1748.0,sombrero,sombrero,,sombrero
1963,1749.0,tomar,tomé,,*tomé* (tomar)
1964,1750.0,estudio,estudio,estudio,estudio
1965,1750.0,estudiar,estudio,estudiar,*estudio* (estudiar)
1966,1751.0,grave,grave,,grave
1967,1752.0,protección,protección,,protección
1968,1753.0,secreto,secretos,,*secretos* (secreto)
1969,1754.0,perder,perdiendo,,*perdiendo* (perder)
1970,1755.0,pecho,pecho,,pecho
1971,1756.0,saber,sepas,,*sepas* (saber)
1972,1757.0,enfermo,enferma,,*enferma* (enfermo)
1973,1758.0,cuesta,cuesta,cuesta,cuesta
1974,1758.0,costar,cuesta,costar,*cuesta* (costar)
1975,1759.0,negro,negros,,*negros* (negro)
1976,1760.0,estrella,estrellas,estrella,*estrellas* (estrella)
1977,1760.0,estrellar,estrellas,estrellar,*estrellas* (estrellar)
1978,1761.0,lago,lago,,lago
1979,1762.0,clase,clases,,*clases* (clase)
1980,1763.0,obviamente,obviamente,,obviamente
1981,1764.0,inmediato,inmediato,,inmediato
1982,1765.0,modo,modos,,*modos* (modo)
1983,1766.0,ir,irás,,*irás* (ir)
1984,1767.0,robo,robo,robo,robo
1985,1767.0,robar,robo,robar,*robo* (robar)
1986,1768.0,matar,mataré,,*mataré* (matar)
1987,1769.0,ser,seria,,*seria* (ser)
1988,1770.0,apoyo,apoyo,apoyo,apoyo
1989,1770.0,apoyar,apoyo,apoyar,*apoyo* (apoyar)
1990,1771.0,cerrar,cerrar,,cerrar
1991,1772.0,imaginar,imagino,,*imagino* (imaginar)
1992,1773.0,amenaza,amenaza,amenaza,amenaza
1993,1773.0,amenazar,amenaza,amenazar,*amenaza* (amenazar)
1994,1774.0,toque,toque,toque,toque
1995,1774.0,tocar,toque,tocar,*toque* (tocar)
1996,1775.0,sacar,saca,,*saca* (sacar)
1997,1776.0,viernes,viernes,,viernes
1998,1777.0,haber,hayan,,*hayan* (haber)
1999,1778.0,roto,roto,roto,roto
2000,1778.0,romper,roto,romper,*roto* (romper)
2001,1779.0,piloto,piloto,,piloto
2002,1780.0,marca,marca,marca,marca
2003,1780.0,marcar,marca,marcar,*marca* (marcar)
2004,1781.0,combate,combate,combate,combate
2005,1781.0,combatir,combate,combatir,*combate* (combatir)
2006,1782.0,hablar,hablé,,*hablé* (hablar)
2007,1783.0,manejar,manejar,,manejar
2008,1784.0,sección,sección,,sección
2009,1785.0,profundo,profundo,,profundo
2010,1786.0,tanto,tantos,,*tantos* (tanto)
2011,1787.0,conocer,conocía,,*conocía* (conocer)
2012,1788.0,serie,serie,,serie
2013,1789.0,contrato,contrato,contrato,contrato
2014,1789.0,contratar,contrato,contratar,*contrato* (contratar)
2015,1790.0,americano,americano,,americano
2016,1791.0,paseo,paseo,paseo,paseo
2017,1791.0,pasear,paseo,pasear,*paseo* (pasear)
2018,1792.0,avión,aviones,,*aviones* (avión)
2019,1793.0,bala,balas,,*balas* (bala)
2020,1794.0,repente,repente,,repente
2021,1795.0,cambiar,cambia,,*cambia* (cambiar)
2022,1796.0,tropa,tropas,,*tropas* (tropa)
2023,1797.0,llevar,llevará,,*llevará* (llevar)
2024,1798.0,uso,uso,uso,uso
2025,1798.0,usar,uso,usar,*uso* (usar)
2026,1799.0,poder,pudiste,,*pudiste* (poder)
2027,1800.0,detener,detener,,detener
2028,1801.0,sabio,sabia,,*sabia* (sabio)
2029,1802.0,llegar,llegué,,*llegué* (llegar)
2030,1803.0,negro,negra,,*negra* (negro)
2031,1804.0,decidido,decidido,decidido,decidido
2032,1804.0,decidir,decidido,decidir,*decidido* (decidir)
2033,1805.0,comenzar,comienza,,*comienza* (comenzar)
2034,1806.0,distancia,distancia,,distancia
2035,1807.0,ser,éramos,,*éramos* (ser)
2036,1808.0,morir,murieron,,*murieron* (morir)
2037,1809.0,averiguar,averiguar,,averiguar
2038,1810.0,actuar,actuar,,actuar
2039,1811.0,quedar,quedo,,*quedo* (quedar)
2040,1812.0,pulso,pulso,pulso,pulso
2041,1812.0,pulsar,pulso,pulsar,*pulso* (pulsar)
2042,1813.0,aguantar,aguanta,,*aguanta* (aguantar)
2043,1814.0,oficial,oficiales,,*oficiales* (oficial)
2044,1815.0,llamar,llamaba,,*llamaba* (llamar)
2045,1816.0,enemigo,enemigos,,*enemigos* (enemigo)
2046,1817.0,salir,saldrá,,*saldrá* (salir)
2047,1818.0,preocupado,preocupado,preocupado,preocupado
2048,1818.0,preocupar,preocupado,preocupar,*preocupado* (preocupar)
2049,1819.0,elección,elección,,elección
2050,1820.0,sobrevivir,sobrevivir,,sobrevivir
2051,1821.0,bordo,bordo,,bordo
2052,1822.0,sujeto,sujeto,,sujeto
2053,1823.0,paciente,pacientes,,*pacientes* (paciente)
2054,1824.0,disculpar,disculpen,,*disculpen* (disculpar)
2055,1825.0,época,época,,época
2056,1826.0,entrar,entró,,*entró* (entrar)
2057,1827.0,pesar,pesar,,pesar
2058,1828.0,hablar,habló,,*habló* (hablar)
2059,1829.0,vender,vender,,vender
2060,1830.0,pensar,piensan,,*piensan* (pensar)
2061,1831.0,ex,ex,,ex
2062,1832.0,gratis,gratis,,gratis
2063,1833.0,desaparecer,desapareció,,*desapareció* (desaparecer)
2064,1834.0,empleo,empleo,empleo,empleo
2065,1834.0,emplear,empleo,emplear,*empleo* (emplear)
2066,1835.0,llamar,llamé,,*llamé* (llamar)
2067,1836.0,conocer,conocen,,*conocen* (conocer)
2068,1837.0,cerdo,cerdo,,cerdo
2069,1838.0,poder,puedan,,*puedan* (poder)
2070,1839.0,comprender,comprendo,,*comprendo* (comprender)
2071,1840.0,tomar,tomo,,*tomo* (tomar)
2072,1841.0,terminar,termina,,*termina* (terminar)
2073,1842.0,alejar,aléjate,,*aléjate* (alejar)
2074,1843.0,buscar,busco,,*busco* (buscar)
2075,1844.0,contento,contento,,contento
2076,1845.0,dar,date,,*date* (dar)
2077,1846.0,tumba,tumba,tumba,tumba
2078,1846.0,tumbar,tumba,tumbar,*tumba* (tumbar)
2079,1847.0,huella,huellas,,*huellas* (huella)
2080,1848.0,cuerpo,cuerpos,,*cuerpos* (cuerpo)
2081,1849.0,absoluto,absoluto,,absoluto
2082,1850.0,pedir,pide,,*pide* (pedir)
2083,1851.0,duro,dura,duro,*dura* (duro)
2084,1851.0,durar,dura,durar,*dura* (durar)
2085,1852.0,descansar,descansar,,descansar
2086,1853.0,respuesta,respuestas,,*respuestas* (respuesta)
2087,1854.0,propiedad,propiedad,,propiedad
2088,1855.0,llamar,llamando,,*llamando* (llamar)
2089,1856.0,dormir,dormido,,*dormido* (dormir)
2090,1857.0,castillo,castillo,,castillo
2091,1858.0,chino,china,chino,*china* (chino)
2092,1858.0,China,china,China,*china* (China)
2093,1859.0,dato,datos,,*datos* (dato)
2094,1860.0,torre,torre,,torre
2095,1861.0,robar,robar,,robar
2096,1862.0,americano,americanos,,*americanos* (americano)
2097,1863.0,malo,malos,,*malos* (malo)
2098,1864.0,botella,botella,,botella
2099,1865.0,aquellos,aquellos,,aquellos
2100,1866.0,últimamente,últimamente,,últimamente
2101,1867.0,testigo,testigo,,testigo
2102,1868.0,presentar,presento,,*presento* (presentar)
2103,1869.0,periódico,periódico,,periódico
2104,1870.0,juez,juez,,juez
2105,1871.0,historia,historias,,*historias* (historia)
2106,1872.0,gustar,gustaba,,*gustaba* (gustar)
2107,1873.0,creer,créeme,,*créeme* (creer)
2108,1874.0,necesitar,necesitar,,necesitar
2109,1875.0,esquina,esquina,,esquina
2110,1876.0,milla,millas,,*millas* (milla)
2111,1877.0,llamada,llamadas,llamada,*llamadas* (llamada)
2112,1877.0,llamar,llamadas,llamar,*llamadas* (llamar)
2113,1878.0,fuente,fuente,,fuente
2114,1879.0,conocer,conocemos,,*conocemos* (conocer)
2115,1880.0,techo,techo,techo,techo
2116,1880.0,techar,techo,techar,*techo* (techar)
2117,1881.0,genio,genio,,genio
2118,1882.0,alerta,alerta,,alerta
2119,1883.0,idea,ideas,,*ideas* (idea)
2120,1884.0,toma,tomas,toma,*tomas* (toma)
2121,1884.0,tomar,tomas,tomar,*tomas* (tomar)
2122,1885.0,olvidar,olvidar,,olvidar
2123,1886.0,menor,menor,,menor
2124,1887.0,droga,droga,,droga
2125,1888.0,explicar,explicar,,explicar
2126,1889.0,abierto,abierta,abierto,*abierta* (abierto)
2127,1889.0,abrir,abierta,abrir,*abierta* (abrir)
2128,1890.0,privado,privado,privado,privado
2129,1890.0,privar,privado,privar,*privado* (privar)
2130,1891.0,miembro,miembros,,*miembros* (miembro)
2131,1892.0,nacional,nacional,,nacional
2132,1893.0,gustar,gustó,,*gustó* (gustar)
2133,1894.0,discutir,discutir,,discutir
2134,1895.0,evidencia,evidencia,,evidencia
2135,1896.0,detalle,detalles,,*detalles* (detalle)
2136,1897.0,tarde,tardes,tarde,*tardes* (tarde)
2137,1897.0,tardar,tardes,tardar,*tardes* (tardar)
2138,1898.0,tomar,tomaré,,*tomaré* (tomar)
2139,1899.0,presente,presente,presente,presente
2140,1899.0,presentar,presente,presentar,*presente* (presentar)
2141,1900.0,criminal,criminal,,criminal
2142,1901.0,premio,premio,,premio
2143,1902.0,volver,vuelvas,,*vuelvas* (volver)
2144,1903.0,sentar,siéntese,,*siéntese* (sentar)
2145,1904.0,venir,viniste,,*viniste* (venir)
2146,1905.0,recibir,recibir,,recibir
2147,1906.0,mirar,mires,,*mires* (mirar)
2148,1907.0,tener,teniendo,,*teniendo* (tener)
2149,1908.0,oler,huele,,*huele* (oler)
2150,1909.0,hablar,hables,,*hables* (hablar)
2151,1910.0,guardia,guardias,,*guardias* (guardia)
2152,1911.0,enamorado,enamorado,enamorado,enamorado
2153,1911.0,enamorar,enamorado,enamorar,*enamorado* (enamorar)
2154,1912.0,cuidar,cuidar,,cuidar
2155,1913.0,poco,pocos,,*pocos* (poco)
2156,1914.0,perdonar,perdone,,*perdone* (perdonar)
2157,1915.0,natural,natural,,natural
2158,1916.0,caballo,caballos,,*caballos* (caballo)
2159,1917.0,escuchar,escucho,,*escucho* (escuchar)
2160,1918.0,enfermera,enfermera,,enfermera
2161,1919.0,ángel,ángel,,ángel
2162,1920.0,sospechoso,sospechoso,,sospechoso
2163,1921.0,local,local,,local
2164,1922.0,mentira,mentiras,,*mentiras* (mentira)
2165,1923.0,camisa,camisa,,camisa
2166,1924.0,confiar,confía,,*confía* (confiar)
2167,1925.0,aceptar,aceptar,,aceptar
2168,1926.0,venganza,venganza,,venganza
2169,1927.0,perder,perdimos,,*perdimos* (perder)
2170,1928.0,cuanto,cuantos,,*cuantos* (cuanto)
2171,1929.0,parque,parque,,parque
2172,1930.0,juego,juegos,,*juegos* (juego)
2173,1931.0,vivir,vives,,*vives* (vivir)
2174,1932.0,varios,varias,,*varias* (varios)
2175,1933.0,hacer,harías,,*harías* (hacer)
2176,1934.0,menudo,menudo,,menudo
2177,1935.0,dejar,déjenme,,*déjenme* (dejar)
2178,1936.0,barrio,barrio,,barrio
2179,1937.0,virus,virus,,virus
2180,1938.0,talento,talento,,talento
2181,1939.0,ministro,ministro,,ministro
2182,1940.0,hacer,hiciera,,*hiciera* (hacer)
2183,1941.0,robar,robó,,*robó* (robar)
2184,1942.0,conocer,conocerte,,*conocerte* (conocer)
2185,1943.0,vivir,viviendo,,*viviendo* (vivir)
2186,1944.0,responsabilidad,responsabilidad,,responsabilidad
2187,1945.0,respirar,respira,,*respira* (respirar)
2188,1946.0,número,números,,*números* (número)
2189,1947.0,pertenecer,pertenece,,*pertenece* (pertenecer)
2190,1948.0,desayuno,desayuno,desayuno,desayuno
2191,1948.0,desayunar,desayuno,desayunar,*desayuno* (desayunar)
2192,1949.0,campeón,campeón,,campeón
2193,1950.0,controlar,controlar,,controlar
2194,1951.0,María,maría,María,*maría* (María)
2195,1951.0,maría,maría,maría,maría
2196,1952.0,nieve,nieve,,nieve
2197,1953.0,México,méxico,,*méxico* (México)
2198,1954.0,día,dias,,*dias* (día)
2199,1955.0,vergüenza,vergüenza,,vergüenza
2200,1956.0,doctora,doctora,,doctora
2201,1957.0,blanco,blancos,,*blancos* (blanco)
2202,1958.0,fumar,fumar,,fumar
2203,1959.0,llevar,llevamos,,*llevamos* (llevar)
2204,1960.0,Europa,Europa,,Europa
2205,1961.0,dudar,dudo,,*dudo* (dudar)
2206,1962.0,pastel,pastel,,pastel
2207,1963.0,quedar,quedas,,*quedas* (quedar)
2208,1964.0,caer,cae,,*cae* (caer)
2209,1965.0,ver,vimos,,*vimos* (ver)
2210,1966.0,recibir,recibido,,*recibido* (recibir)
2211,1967.0,andar,andando,,*andando* (andar)
2212,1968.0,agente,agentes,,*agentes* (agente)
2213,1969.0,ser,fueras,ser,*fueras* (ser)
2214,1969.0,ir,fueras,ir,*fueras* (ir)
2215,1970.0,asustado,asustado,asustado,asustado
2216,1970.0,asustar,asustado,asustar,*asustado* (asustar)
2217,1971.0,perdonar,perdóname,,*perdóname* (perdonar)
2218,1972.0,reino,reino,reino,reino
2219,1972.0,reinar,reino,reinar,*reino* (reinar)
2220,1973.0,clave,clave,,clave
2221,1974.0,papel,papeles,,*papeles* (papel)
2222,1975.0,matar,matando,,*matando* (matar)
2223,1976.0,efecto,efecto,,efecto
2224,1977.0,plata,plata,,plata
2225,1978.0,olvidar,olvidé,,*olvidé* (olvidar)
2226,1979.0,ir,iban,,*iban* (ir)
2227,1980.0,universo,universo,,universo
2228,1981.0,política,política,,política
2229,1982.0,almuerzo,almuerzo,almuerzo,almuerzo
2230,1982.0,almorzar,almuerzo,almorzar,*almuerzo* (almorzar)
2231,1983.0,magia,magia,,magia
2232,1984.0,lluvia,lluvia,,lluvia
2233,1985.0,humor,humor,,humor
2234,1986.0,auto,autos,,*autos* (auto)
2235,1987.0,ver,veía,,*veía* (ver)
2236,1988.0,tanto,tantas,,*tantas* (tanto)
2237,1989.0,respirar,respirar,,respirar
2238,1990.0,cantar,cantar,,cantar
2239,1991.0,trabajar,trabajas,,*trabajas* (trabajar)
2240,1992.0,disparo,disparo,,disparo
2241,1993.0,conversación,conversación,,conversación
2242,1994.0,olor,olor,,olor
2243,1995.0,asesino,asesinos,,*asesinos* (asesino)
2244,1996.0,muchacha,muchacha,,muchacha
2245,1997.0,modelo,modelo,,modelo
2246,1998.0,curso,curso,,curso
2247,1999.0,canal,canal,,canal
2248,2000.0,rock,rock,,rock
2249,2001.0,llorar,llorar,,llorar
2250,2002.0,borracho,borracho,,borracho
2251,2003.0,regresar,regresen,,*regresen* (regresar)
2252,2004.0,ir,váyanse,,*váyanse* (ir)
2253,2005.0,sentir,sentía,,*sentía* (sentir)
2254,2006.0,resultado,resultado,resultado,resultado
2255,2006.0,resultar,resultado,resultar,*resultado* (resultar)
2256,2007.0,parado,parado,parado,parado
2257,2007.0,parar,parado,parar,*parado* (parar)
2258,2008.0,olvidar,olvides,,*olvides* (olvidar)
2259,2009.0,mirada,mirada,mirada,mirada
2260,2009.0,mirar,mirada,mirar,*mirada* (mirar)
2261,2010.0,inútil,inútil,,inútil
2262,2011.0,acabar,acabas,,*acabas* (acabar)
2263,2012.0,ciencia,ciencia,,ciencia
2264,2013.0,perder,perdiste,,*perdiste* (perder)
2265,2014.0,sociedad,sociedad,,sociedad
2266,2015.0,regresar,regrese,,*regrese* (regresar)
2267,2016.0,camioneta,camioneta,,camioneta
2268,2017.0,coño,coño,,coño
2269,2018.0,revista,revista,,revista
2270,2019.0,parecer,pareció,,*pareció* (parecer)
2271,2020.0,montaña,montaña,,montaña
2272,2021.0,maravilloso,maravillosa,,*maravillosa* (maravilloso)
2273,2022.0,dejar,dejarlo,,*dejarlo* (dejar)
2274,2023.0,máximo,máximo,,máximo
2275,2024.0,echar,echar,,echar
2276,2025.0,corriente,corriente,,corriente
2277,2026.0,escuchar,escuchando,,*escuchando* (escuchar)
2278,2027.0,disculpa,disculpas,disculpa,*disculpas* (disculpa)
2279,2027.0,disculpar,disculpas,disculpar,*disculpas* (disculpar)
2280,2028.0,cadáver,cadáver,,cadáver
2281,2029.0,seguir,seguimos,,*seguimos* (seguir)
2282,2030.0,ron,ron,ron,ron
2283,2030.0,Ron,ron,Ron,*ron* (Ron)
2284,2031.0,espectáculo,espectáculo,,espectáculo
2285,2032.0,mundial,mundial,,mundial
2286,2033.0,Francia,francia,,*francia* (Francia)
2287,2034.0,decir,decirles,,*decirles* (decir)
2288,2035.0,aspecto,aspecto,,aspecto
2289,2036.0,presencia,presencia,,presencia
2290,2037.0,famoso,famoso,,famoso
2291,2038.0,corto,corto,corto,corto
2292,2038.0,cortar,corto,cortar,*corto* (cortar)
2293,2039.0,relajar,relájate,,*relájate* (relajar)
2294,2040.0,poderoso,poderoso,,poderoso
2295,2041.0,recuerdo,recuerdos,,*recuerdos* (recuerdo)
2296,2042.0,llegar,llego,,*llego* (llegar)
2297,2043.0,carretera,carretera,,carretera
2298,2044.0,pasar,pasé,,*pasé* (pasar)
2299,2045.0,oír,oigo,,*oigo* (oír)
2300,2046.0,esperar,esperamos,,*esperamos* (esperar)
2301,2047.0,escuchar,escuchado,,*escuchado* (escuchar)
2302,2048.0,cable,cable,,cable
2303,2049.0,rosa,rosa,,rosa
2304,2050.0,bola,bola,,bola
2305,2051.0,oferta,oferta,,oferta
2306,2052.0,intentar,intentarlo,,*intentarlo* (intentar)
2307,2053.0,haber,habido,,*habido* (haber)
2308,2054.0,continuar,continuar,,continuar
2309,2055.0,ladrón,ladrón,,ladrón
2310,2056.0,humanidad,humanidad,,humanidad
2311,2057.0,estómago,estómago,,estómago
2312,2058.0,entero,entera,,*entera* (entero)
2313,2059.0,contar,contó,,*contó* (contar)
2314,2060.0,poner,poniendo,,*poniendo* (poner)
2315,2061.0,mercado,mercado,,mercado
2316,2062.0,granja,granja,,granja
2317,2063.0,idiota,idiotas,,*idiotas* (idiota)
2318,2064.0,hablar,hablemos,,*hablemos* (hablar)
2319,2065.0,estudiante,estudiante,,estudiante
2320,2066.0,siglo,siglo,,siglo
2321,2067.0,relación,relaciones,,*relaciones* (relación)
2322,2068.0,hablar,hablan,,*hablan* (hablar)
2323,2069.0,nosotras,nosotras,,nosotras
2324,2070.0,miembro,miembro,,miembro
2325,2071.0,fortuna,fortuna,,fortuna
2326,2072.0,libre,libres,,*libres* (libre)
2327,2073.0,acción,acciones,,*acciones* (acción)
2328,2074.0,espera,esperas,espera,*esperas* (espera)
2329,2074.0,esperar,esperas,esperar,*esperas* (esperar)
2330,2075.0,suficientemente,suficientemente,,suficientemente
2331,2076.0,llevar,llevaron,,*llevaron* (llevar)
2332,2077.0,ocurrir,ocurrido,,*ocurrido* (ocurrir)
2333,2078.0,andar,andar,,andar
2334,2079.0,perfectamente,perfectamente,,perfectamente
2335,2080.0,pasar,pasan,,*pasan* (pasar)
2336,2081.0,jardín,jardín,,jardín
2337,2082.0,cola,cola,cola,cola
2338,2082.0,colar,cola,colar,*cola* (colar)
2339,2083.0,resultado,resultados,,*resultados* (resultado)
2340,2084.0,francés,francés,,francés
2341,2085.0,Troya,troya,,*troya* (Troya)
2342,2086.0,tercero,tercera,,*tercera* (tercero)
2343,2087.0,entrenamiento,entrenamiento,,entrenamiento
2344,2088.0,azúcar,azúcar,,azúcar
2345,2089.0,meter,metido,,*metido* (meter)
2346,2090.0,ayudar,ayudarlo,,*ayudarlo* (ayudar)
2347,2091.0,decir,diles,,*diles* (decir)
2348,2092.0,coger,coger,,coger
2349,2093.0,lunes,lunes,,lunes
2350,2094.0,ey,ey,,ey
2351,2095.0,intención,intención,,intención
2352,2096.0,volver,volviendo,,*volviendo* (volver)
2353,2097.0,efectivo,efectivo,,efectivo
2354,2098.0,salir,salgamos,,*salgamos* (salir)
2355,2099.0,preguntar,preguntaba,,*preguntaba* (preguntar)
2356,2100.0,olvidar,olvida,,*olvida* (olvidar)
2357,2101.0,helicóptero,helicóptero,,helicóptero
2358,2102.0,fuerte,fuertes,,*fuertes* (fuerte)
2359,2103.0,encantador,encantador,,encantador
2360,2104.0,original,original,,original
2361,2105.0,cadena,cadena,,cadena
2362,2106.0,tarea,tarea,,tarea
2363,2107.0,disparar,dispara,,*dispara* (disparar)
2364,2108.0,corto,corta,corto,*corta* (corto)
2365,2108.0,cortar,corta,cortar,*corta* (cortar)
2366,2109.0,compañero,compañeros,,*compañeros* (compañero)
2367,2110.0,cirugía,cirugía,,cirugía
2368,2111.0,quitar,quítate,,*quítate* (quitar)
2369,2112.0,querer,querían,,*querían* (querer)
2370,2113.0,precioso,precioso,,precioso
2371,2114.0,lord,lord,,lord
2372,2115.0,comenzar,comenzó,,*comenzó* (comenzar)
2373,2116.0,truco,truco,,truco
2374,2117.0,inspector,inspector,,inspector
2375,2118.0,enojado,enojado,enojado,enojado
2376,2118.0,enojar,enojado,enojar,*enojado* (enojar)
2377,2119.0,felicidad,felicidades,,*felicidades* (felicidad)
2378,2120.0,desaparecido,desaparecido,desaparecido,desaparecido
2379,2120.0,desaparecer,desaparecido,desaparecer,*desaparecido* (desaparecer)
2380,2121.0,acto,acto,,acto
2381,2122.0,pollo,pollo,,pollo
2382,2123.0,chocolate,chocolate,,chocolate
2383,2124.0,adonde,adonde,,adonde
2384,2125.0,resultar,resulta,,*resulta* (resultar)
2385,2126.0,merecer,merece,,*merece* (merecer)
2386,2127.0,gas,gas,,gas
2387,2128.0,examen,examen,,examen
2388,2129.0,ver,vean,,*vean* (ver)
2389,2130.0,tonto,tonta,,*tonta* (tonto)
2390,2131.0,importante,importantes,,*importantes* (importante)
2391,2132.0,apuesta,apuesta,apuesta,apuesta
2392,2132.0,apostar,apuesta,apostar,*apuesta* (apostar)
2393,2133.0,directamente,directamente,,directamente
2394,2134.0,recuperar,recuperar,,recuperar
2395,2135.0,poner,pongo,,*pongo* (poner)
2396,2136.0,llegar,llegaron,,*llegaron* (llegar)
2397,2137.0,cobarde,cobarde,,cobarde
2398,2138.0,cantidad,cantidad,,cantidad
2399,2139.0,sucio,sucio,,sucio
2400,2140.0,haber,habia,,*habia* (haber)
2401,2141.0,emperador,emperador,,emperador
2402,2142.0,mono,mono,,mono
2403,2143.0,encontrar,encontraremos,,*encontraremos* (encontrar)
2404,2144.0,disparar,disparen,,*disparen* (disparar)
2405,2145.0,gloria,gloria,,gloria
2406,2146.0,contrario,contrario,,contrario
2407,2147.0,socorro,socorro,socorro,socorro
2408,2147.0,socorrer,socorro,socorrer,*socorro* (socorrer)
2409,2148.0,sir,sir,,sir
2410,2149.0,escalera,escaleras,,*escaleras* (escalera)
2411,2150.0,paso,pasos,,*pasos* (paso)
2412,2151.0,nuevamente,nuevamente,,nuevamente
2413,2152.0,derecho,derechos,,*derechos* (derecho)
2414,2153.0,obtener,obtener,,obtener
2415,2154.0,gustar,guste,,*guste* (gustar)
2416,2155.0,búsqueda,búsqueda,,búsqueda
2417,2156.0,helado,helado,helado,helado
2418,2156.0,helar,helado,helar,*helado* (helar)
2419,2157.0,fútbol,fútbol,,fútbol
2420,2158.0,sexual,sexual,,sexual
2421,2159.0,polvo,polvo,,polvo
2422,2160.0,asegurar,aseguro,,*aseguro* (asegurar)
2423,2161.0,rostro,rostro,,rostro
2424,2162.0,robar,robado,robar,*robado* (robar)
2425,2162.0,robado,robado,robado,robado
2426,2163.0,policía,policia,,*policia* (policía)
2427,2164.0,empresa,empresa,,empresa
2428,2165.0,escuchar,escuchas,,*escuchas* (escuchar)
2429,2166.0,poner,pones,,*pones* (poner)
2430,2167.0,largar,lárgate,,*lárgate* (largar)
2431,2168.0,interés,interés,,interés
2432,2169.0,disculpar,discúlpeme,,*discúlpeme* (disculpar)
2433,2170.0,dejar,dejaron,,*dejaron* (dejar)
2434,2171.0,tener,tengamos,,*tengamos* (tener)
2435,2172.0,firma,firma,firma,firma
2436,2172.0,firmar,firma,firmar,*firma* (firmar)
2437,2173.0,llevar,llevaba,,*llevaba* (llevar)
2438,2174.0,llegar,llegas,,*llegas* (llegar)
2439,2175.0,Cristo,cristo,,*cristo* (Cristo)
2440,2176.0,tercero,tercer,,*tercer* (tercero)
2441,2177.0,senador,senador,,senador
2442,2178.0,continuar,continúa,,*continúa* (continuar)
2443,2179.0,gracia,gracia,,gracia
2444,2180.0,cien,cien,,cien
2445,2181.0,dar,des,,*des* (dar)
2446,2182.0,tratado,tratado,tratado,tratado
2447,2182.0,tratar,tratado,tratar,*tratado* (tratar)
2448,2183.0,razón,razones,,*razones* (razón)
2449,2184.0,caminar,caminando,,*caminando* (caminar)
2450,2185.0,urgencia,urgencias,,*urgencias* (urgencia)
2451,2186.0,o,u,,*u* (o)
2452,2187.0,esperar,esperan,,*esperan* (esperar)
2453,2188.0,muñeca,muñeca,,muñeca
2454,2189.0,firme,firme,firme,firme
2455,2189.0,firmar,firme,firmar,*firme* (firmar)
2456,2190.0,dormir,duerme,,*duerme* (dormir)
2457,2191.0,ambulancia,ambulancia,,ambulancia
2458,2192.0,limpio,limpia,limpio,*limpia* (limpio)
