,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
76,eindelijk,"*finally*
adverb: finally, ultimately, on the whole
""Eindelijk heb ik mijn droomhuis gevonden!"" - Finally, I have found my dream house!","""Eindelijk heb ik mijn droomhuis gevonden!"" - Finally, I have found my dream house!",*finally*,"[['finally', 'ultimately', 'on the whole']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=eindelijk,"adverb: finally, ultimately, on the whole"


77,perfect,"*perfect*
adjective: perfect
Mijn leven is perfect. - My life is perfect.",Mijn leven is perfect. - My life is perfect.,*perfect*,[['perfect']],adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=perfect,adjective: perfect


78,goeie,"*good*

Goeie morgen! - Good morning!",Goeie morgen! - Good morning!,*good*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=goeie,


79,gisteren,"*yesterday*
adverb: yesterday
noun: yesterday
Gisteren heb ik naar de bioscoop gegaan. - Yesterday I went to the movies.",Gisteren heb ik naar de bioscoop gegaan. - Yesterday I went to the movies.,*yesterday*,"[['yesterday'], ['yesterday']]",adverb noun,adverb noun,https://www.linguee.com/english-dutch/search?source=auto&query=gisteren,"adverb: yesterday
noun: yesterday"


80,aarde,"*soil*
noun: earth, soil, terra
De aarde is onze thuis. - The Earth is our home.",De aarde is onze thuis. - The Earth is our home.,*soil*,"[['earth', 'soil', 'terra', 'glebe']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=aarde,"noun: earth, soil, terra"


81,contact,"*Contact*
noun: contact, touch, bracer
adjective: contracted
Ik heb contact met mijn vrienden. - I am in contact with my friends.",Ik heb contact met mijn vrienden. - I am in contact with my friends.,*Contact*,"[['contact', 'touch', 'bracer'], ['contracted']]",noun adjective,noun adjective,https://www.linguee.com/english-dutch/search?source=auto&query=contact,"noun: contact, touch, bracer
adjective: contracted"


82,zus,"*sister*
noun: sister, sibling
adverb: so, thus
Mijn zus en ik zijn beste vrienden. - My sister and I are best friends.",Mijn zus en ik zijn beste vrienden. - My sister and I are best friends.,*sister*,"[['sister', 'sibling'], ['so', 'thus']]",noun adverb,noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=zus,"noun: sister, sibling
adverb: so, thus"


83,erbij,"*there*

""Hij heeft er nog wat erbij gekregen."" - He got something extra with it.","""Hij heeft er nog wat erbij gekregen."" - He got something extra with it.",*there*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=erbij,


84,beschermen,"*to protect*
verb: protect, safeguard, guard
""De mens moet de natuur beschermen."" - The human must protect nature.","""De mens moet de natuur beschermen."" - The human must protect nature.",*to protect*,"[['protect', 'safeguard', 'guard', 'shield', 'shelter', 'patronize', 'ward', 'screen', 'shade', 'fence', 'bulwark', 'fence in']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=beschermen,"verb: protect, safeguard, guard"


85,gevangenis,"*jail*
noun: prison, jail, gaol
De gevangenis was een donkere en beangstigende plek.

The prison was a dark and frightening place.","De gevangenis was een donkere en beangstigende plek.

The prison was a dark and frightening place.",*jail*,"[['prison', 'jail', 'gaol', 'prison house', 'limbo', 'cage', 'pound', 'bastille', 'pokey', 'jug', 'detention house', 'college', 'glass house', 'bridewell', 'quod', 'choky', 'mew']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gevangenis,"noun: prison, jail, gaol"


86,persoon,"*person*
noun: person, man, party
De persoon liep door de straat. - The person walked down the street.",De persoon liep door de straat. - The person walked down the street.,*person*,"[['person', 'man', 'party', 'personage', 'guy', 'self', 'chap']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=persoon,"noun: person, man, party"


87,winnen,"*to win*
verb: win, gain, earn
Ik heb de wedstrijd gewonnen. - I won the competition.",Ik heb de wedstrijd gewonnen. - I won the competition.,*to win*,"[['win', 'gain', 'earn', 'mine', 'score', 'enlist']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=winnen,"verb: win, gain, earn"


88,kracht,"*power*
noun: force, power, strength
""Met kracht duwde hij de deur open."" - With force, he pushed the door open.","""Met kracht duwde hij de deur open."" - With force, he pushed the door open.",*power*,"[['force', 'power', 'strength', 'vigor', 'potency', 'load', 'might', 'weight', 'fortitude', 'vehemence', 'dint', 'sap', 'nerve', 'main', 'pith', 'potence', 'vim', 'powder', 'lustiness', 'vigour']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=kracht,"noun: force, power, strength"


89,ziek,"*sick*
adjective: sick, ill, diseased
Ik ben ziek. - I am sick.",Ik ben ziek. - I am sick.,*sick*,"[['sick', 'ill', 'diseased']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=ziek,"adjective: sick, ill, diseased"


90,omhoog,"*upwards*
adverb: up, upwards, upward
Ik kijk omhoog naar de lucht. - I look up at the sky.",Ik kijk omhoog naar de lucht. - I look up at the sky.,*upwards*,"[['up', 'upwards', 'upward', 'aloft']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=omhoog,"adverb: up, upwards, upward"


91,beloof,"*promise*
verb: promise, make a promise, plight
Ik beloof je dat ik je niet zal teleurstellen. - I promise you that I won't let you down.",Ik beloof je dat ik je niet zal teleurstellen. - I promise you that I won't let you down.,*promise*,"[['promise', 'make a promise', 'plight', ""give one's word""]]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=beloof,"verb: promise, make a promise, plight"


92,gebruik,"*usage*
noun: use, using, usage
Gebruik deze kaart om je weg te vinden. - Use this map to find your way.",Gebruik deze kaart om je weg te vinden. - Use this map to find your way.,*usage*,"[['use', 'using', 'usage', 'application', 'practice', 'custom', 'wear', 'employment', 'convention', 'praxis', 'way', 'consuetude']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=gebruik,"noun: use, using, usage"


93,hoezo,"*how so*
adverb: why
conjunction: why
Hoezo? - Why?",Hoezo? - Why?,*how so*,"[['why'], ['why']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=hoezo,"adverb: why
conjunction: why"


94,degene,"*the one*

Degene die het eerst komt, krijgt de beste plaatsen. - He who comes first gets the best seats.","Degene die het eerst komt, krijgt de beste plaatsen. - He who comes first gets the best seats.",*the one*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=degene,


95,trek,"*pull*
noun: pull, draw, migration
Ik trek mijn schoenen aan. - I am putting on my shoes.",Ik trek mijn schoenen aan. - I am putting on my shoes.,*pull*,"[['pull', 'draw', 'migration', 'haul', 'trait', 'appetite', 'feature', 'drift', 'pluck', 'twist', 'groove', 'draught']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=trek,"noun: pull, draw, migration"


96,meen,"*mean*
verb: believe, think, mean
Ik meen het echt. - I really mean it.",Ik meen het echt. - I really mean it.,*mean*,"[['believe', 'think', 'mean', 'submit', 'suppose', 'deem', 'intend', 'fancy', 'figure', 'ween']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=meen,"verb: believe, think, mean"


97,enkele,"*a few*
adverb: a few
Enkele mensen hebben al een vaccin ontvangen. - A few people have already received a vaccine.",Enkele mensen hebben al een vaccin ontvangen. - A few people have already received a vaccine.,*a few*,[['a few']],adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=enkele,adverb: a few


98,getrouwd,"*married*
adjective: married, hitched, sealed
Mijn ouders zijn getrouwd sinds 1993. - My parents have been married since 1993.",Mijn ouders zijn getrouwd sinds 1993. - My parents have been married since 1993.,*married*,"[['married', 'hitched', 'sealed']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=getrouwd,"adjective: married, hitched, sealed"


99,gevraagd,"*asked*
adjective: wanted, sought-after
Ik heb om hulp gevraagd. - I asked for help.",Ik heb om hulp gevraagd. - I asked for help.,*asked*,"[['wanted', 'sought-after']]",adjective,adjective,https://www.linguee.com/english-dutch/search?source=auto&query=gevraagd,"adjective: wanted, sought-after"


