,Dutch,Quizlet,Sentence,English,Alternatives,P-O-S,Quizlet P-O-S,MoreInfo,Quizlet Alternatives
83,wie,"*Who*
conjunction: who
pronoun: who, whom, which
is daar? - Who is there?",is daar? - Who is there?,*Who*,"[['who'], ['who', 'whom', 'which']]",conjunction pronoun,conjunction pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=wie,"conjunction: who
pronoun: who, whom, which"


84,kunnen,"*be able to*
verb: can, may, be able
an niet wachten om het te zien. - I can't wait to see it.",an niet wachten om het te zien. - I can't wait to see it.,*be able to*,"[['can', 'may', 'be able']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=kunnen,"verb: can, may, be able"


85,alles,"*everything*
pronoun: all, everything
s komt goed. - Everything will be alright.",s komt goed. - Everything will be alright.,*everything*,"[['all', 'everything']]",pronoun,pronoun,https://www.linguee.com/english-dutch/search?source=auto&query=alles,"pronoun: all, everything"


86,denk,"*think*
verb: think, think of, conceive
enk dat het regent. - I think it is raining.",enk dat het regent. - I think it is raining.,*think*,"[['think', 'think of', 'conceive', 'intend', 'reckon', 'guess', 'fancy', 'cogitate', 'ween', 'trow']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=denk,"verb: think, think of, conceive"


87,door,"*Through*
preposition: by, through, from
adverb: through, on, throughout
ging door de deur naar buiten"" - I went through the door to the outside.","ging door de deur naar buiten"" - I went through the door to the outside.",*Through*,"[['by', 'through', 'from', 'with', 'along', 'by dint of', 'seeing', 'withal'], ['through', 'on', 'throughout']]",preposition adverb,preposition adverb,https://www.linguee.com/english-dutch/search?source=auto&query=door,"preposition: by, through, from
adverb: through, on, throughout"


88,echt,"*Real*
adverb: really, truly, genuinely
adjective: real, genuine, very
noun: marriage, matrimony
eb echt mijn best gedaan. - I really tried my best.",eb echt mijn best gedaan. - I really tried my best.,*Real*,"[['really', 'truly', 'genuinely', 'authentically'], ['real', 'genuine', 'very', 'authentic', 'veritable', 'live', 'legitimate', 'thorough', 'in wedlock', 'right-down', 'simon-pure', 'out-and-out'], ['marriage', 'matrimony']]",adverb adjective noun,adverb adjective noun,https://www.linguee.com/english-dutch/search?source=auto&query=echt,"adverb: really, truly, genuinely
adjective: real, genuine, very
noun: marriage, matrimony"


89,alleen,"*only*
adverb: only, alone, merely
conjunction: only, if only
adjective: alone, sole, single
en alleen thuis. - I am alone at home.",en alleen thuis. - I am alone at home.,*only*,"[['only', 'alone', 'merely', 'solely', 'singly', 'solus', 'by oneself', 'in private'], ['only', 'if only'], ['alone', 'sole', 'single', 'single-handed']]",adverb conjunction adjective,adverb conjunction adjective,https://www.linguee.com/english-dutch/search?source=auto&query=alleen,"adverb: only, alone, merely
conjunction: only, if only
adjective: alone, sole, single"


90,oké,"*Okay*

 ik begrijp het. - Ok, I understand."," ik begrijp het. - Ok, I understand.",*Okay*,,,no P-O-S info,https://www.linguee.com/english-dutch/search?source=auto&query=oké,


91,eens,"*at sometime*
adverb: once, ever, at one time
adjective: onetime
en het eens met je. - I agree with you.",en het eens met je. - I agree with you.,*at sometime*,"[['once', 'ever', 'at one time', 'whilom'], ['onetime']]",adverb adjective,adverb adjective,https://www.linguee.com/english-dutch/search?source=auto&query=eens,"adverb: once, ever, at one time
adjective: onetime"


92,dus,"*So*
adverb: so, therefore, thus
conjunction: therefore, hence, then
heb ik besloten om het te doen. Therefore, I have decided to do it.","heb ik besloten om het te doen. Therefore, I have decided to do it.",*So*,"[['so', 'therefore', 'thus', 'consequently', 'accordingly', 'according to'], ['therefore', 'hence', 'then']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=dus,"adverb: so, therefore, thus
conjunction: therefore, hence, then"


93,weg,"*away*
adjective: road, gone, lost
noun: road, way, path
adverb: away, off, out
 is de weg kwijt."" - He is lost."," is de weg kwijt."" - He is lost.",*away*,"[['road', 'gone', 'lost', 'pathless'], ['road', 'way', 'path', 'pathway', 'driveway', 'gate', 'via', 'pad', 'resources'], ['away', 'off', 'out']]",adjective noun adverb,adjective noun adverb,https://www.linguee.com/english-dutch/search?source=auto&query=weg,"adjective: road, gone, lost
noun: road, way, path
adverb: away, off, out"


94,zien,"*to see*
verb: see, view, look
ie je morgen. - I'll see you tomorrow.",ie je morgen. - I'll see you tomorrow.,*to see*,"[['see', 'view', 'look', 'behold', 'set eyes on']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=zien,"verb: see, view, look"


95,toch,"*However*
adverb: yet, still, however
conjunction: nevertheless, nonetheless, even so
 vond ik het leuk. - I still enjoyed it.", vond ik het leuk. - I still enjoyed it.,*However*,"[['yet', 'still', 'however', 'so', 'surely', 'then', 'at the same time', 'all the same', 'sure thing'], ['nevertheless', 'nonetheless', 'even so', 'all the same']]",adverb conjunction,adverb conjunction,https://www.linguee.com/english-dutch/search?source=auto&query=toch,"adverb: yet, still, however
conjunction: nevertheless, nonetheless, even so"


96,man,"*man*
noun: man, husband
an loopt naar de winkel. - The man is walking to the store.",an loopt naar de winkel. - The man is walking to the store.,*man*,"[['man', 'husband']]",noun,noun,https://www.linguee.com/english-dutch/search?source=auto&query=man,"noun: man, husband"


97,nooit,"*never*
adverb: never, no way, ne'er
al nooit vergeten wat er gebeurd is. - I will never forget what happened.",al nooit vergeten wat er gebeurd is. - I will never forget what happened.,*never*,"[['never', 'no way', ""ne'er""]]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=nooit,"adverb: never, no way, ne'er"


98,terug,"*back*
adverb: back, again, backward
en terug naar huis gegaan - I went back home.",en terug naar huis gegaan - I went back home.,*back*,"[['back', 'again', 'backward', 'aback']]",adverb,adverb,https://www.linguee.com/english-dutch/search?source=auto&query=terug,"adverb: back, again, backward"


99,laten,"*to leave*
verb: let, leave, make
en we gaan!"" - ""Let's go!""","en we gaan!"" - ""Let's go!""",*to leave*,"[['let', 'leave', 'make', 'cause', 'give up', 'vail', 'knock off']]",verb,verb,https://www.linguee.com/english-dutch/search?source=auto&query=laten,"verb: let, leave, make"


